"Region name";"Bread crumbs";"Product name";"Price";"Old price";"Avaliable";"Links to picture";"Link to the product"
Ростов-на-Дону;Главная->Каталог продукции->Транспорт->Коллекционные машинки->Коллекционные машинки->Wincars YK-2208 Машинка с большими колёсами инерционная металлическая 10 см, (в ассортименте);Wincars YK-2208 Машинка с большими колёсами инерционная металлическая 10 см, (в ассортименте);459 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/modeli_mashin/wincars_yk_2208_mashinka_s_bolshimi_kolyesami_inertsionnaya_metallicheskaya_10_sm_v_assortimente/;https://cdn.toy.ru/upload/iblock/3d1/yk_2208.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Транспорт->Коллекционные машинки->Коллекционные машинки->Welly 95948 Велли Модель автобуса;Welly 95948 Велли Модель автобуса;589 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/modeli_mashin/welly_95948_velli_model_avtobusa/;https://cdn.toy.ru/upload/iblock/436/95948.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Фигурки->Rev&Roll EU881011 Фигурка+машинка (метал) - Рев и Рамбл;Rev&Roll EU881011 Фигурка+машинка (метал) - Рев и Рамбл;1 289 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/toys-figurki/rev_roll_eu881011_figruka_mashinka_metal_rev_i_rambl/;https://cdn.toy.ru/upload/iblock/3b1/82_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Фигурки->Rev&Roll EU881021 Фигурка+машинка (метал) - Эйвери и Элли;Rev&Roll EU881021 Фигурка+машинка (метал) - Эйвери и Элли;1 289 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/toys-figurki/rev_roll_eu881021_figruka_mashinka_metal_averi_i_alley/;https://cdn.toy.ru/upload/iblock/78d/78_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Фигурки->Rev&Roll EU881031 Фигурка+машинка (метал) - Бо и Сприцер;Rev&Roll EU881031 Фигурка+машинка (метал) - Бо и Сприцер;1 289 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/toys-figurki/rev_roll_eu881031_figruka_mashinka_metal_bo_i_spritser/;https://cdn.toy.ru/upload/iblock/c32/79_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Фигурки->Rev&Roll EU881041 Фигурка+машинка (метал) - Оуен и Крэш;Rev&Roll EU881041 Фигурка+машинка (метал) - Оуен и Крэш;489 руб.;1 289 руб.; Товар есть в наличии;https://www.toy.ru/catalog/toys-figurki/rev_roll_eu881041_figruka_mashinka_metal_ouen_i_kresh/;https://cdn.toy.ru/upload/iblock/843/81_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Фигурки->Rev&Roll EU881051 Фигурка+машинка (метал) - Лори и Типпер;Rev&Roll EU881051 Фигурка+машинка (метал) - Лори и Типпер;489 руб.;1 289 руб.; Товар есть в наличии;https://www.toy.ru/catalog/toys-figurki/rev_roll_eu881051_figruka_mashinka_metal_lori_i_tipper/;https://cdn.toy.ru/upload/iblock/376/80_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Любимые герои->Rev&Roll EU881210 Машинка - Рамбл;Rev&Roll EU881210 Машинка - Рамбл;1 579 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/lyubimye_geroi_figures/rev_roll_eu881210_mashinka_rambl/;https://cdn.toy.ru/upload/iblock/3cf/90_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Любимые герои->Rev&Roll EU881220 Машинка - Элли;Rev&Roll EU881220 Машинка - Элли;1 579 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/lyubimye_geroi_figures/rev_roll_eu881220_mashinka_alley/;https://cdn.toy.ru/upload/iblock/b3f/89_600.jpg?_cvc=1665807003
Ростов-на-Дону;Главная->Каталог продукции->Игровые наборы->Любимые герои->Rev&Roll EU881230 Машинка - Сприцер;Rev&Roll EU881230 Машинка - Сприцер;1 579 руб.;; Товар есть в наличии;https://www.toy.ru/catalog/lyubimye_geroi_figures/rev_roll_eu881230_mashinka_spritser/;https://cdn.toy.ru/upload/iblock/4e3/92_600.jpg?_cvc=1665807003
